tour,start_date,end_date,draftkings.name,salary,add_timestamp
The Honda Classic,2020-02-27,2020-03-01,Louis Oosthuizen,9700,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Gary Woodland,10300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Denny McCarthy,7100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Tommy Fleetwood,11600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Harris English,7800,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Sungjae Im,9300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Rickie Fowler,10800,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Daniel Berger,8900,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Brian Harman,7300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Ryan Palmer,8300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Maverick McNealy,7500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Stewart Cink,6700,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Byeong Hun An,8800,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Billy Horschel,9200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Lee Westwood,7800,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Adam Long,6800,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Mark Hubbard,6700,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,J.T. Poston,8600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Justin Rose,9900,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Harry Higgs,7300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Charles Howell III,8400,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Cameron Tringale,7100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Vaughn Taylor,7600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Talor Gooch,7200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Erik Van Rooyen,9000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Corey Conners,8200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Xinjun Zhang,7000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Viktor Hovland,9500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Russell Knox,7600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Joaquin Niemann,8700,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Kurt Kitayama,7300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Matthew NeSmith,7200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Brian Gay,6400,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Tom Hoge,6900,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Beau Hossler,6900,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Doc Redman,7000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Brian Stuard,6700,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Harold Varner III,7700,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Bud Cauley,7300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Dylan Frittelli,6800,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,D.J. Trahan,6500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Bronson Burgoon,6700,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Scott Stallings,6800,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Wes Roach,6000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Shane Lowry,9100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Danny Lee,6800,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,John Huh,6300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Jim Furyk,7100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Chesson Hadley,6800,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Matthew Wolff,7700,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Patrick Rodgers,7400,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Lucas Glover,7200,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Brendan Steele,7100,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Chase Seiffert,6700,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Bo Hoag,6600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Tim Wilkinson,6600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Henrik Norlander,6900,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Joseph Bramlett,6700,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Tyler McCumber,6600,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Cameron Percy,6500,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Richy Werenski,6300,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Luke List,8000,2020-02-25T21:31:28Z
The Honda Classic,2020-02-27,2020-03-01,Sean O'Hair,7000,2020-02-25T21:31:28Z
