name,owned,id,start_date,end_date,year
Matt Kuchar,1.08,82,2016-06-16,2016-06-19,2016
Jason Dufner,1.08,82,2016-06-16,2016-06-19,2016
Charl Schwartzel,1.08,82,2016-06-16,2016-06-19,2016
Tom Hoge,1.02,82,2016-06-16,2016-06-19,2016
Daniel Berger,1.02,82,2016-06-16,2016-06-19,2016
Anirban Lahiri,1.02,82,2016-06-16,2016-06-19,2016
Zach Johnson,1.02,82,2016-06-16,2016-06-19,2016
Jordan Spieth,1.02,82,2016-06-16,2016-06-19,2016
Billy Horschel,1.02,82,2016-06-16,2016-06-19,2016
Dustin Johnson,1.02,82,2016-06-16,2016-06-19,2016
Bubba Watson,1.02,82,2016-06-16,2016-06-19,2016
Kevin Na,1.02,82,2016-06-16,2016-06-19,2016
Webb Simpson,1.02,82,2016-06-16,2016-06-19,2016
James Hahn,1.02,82,2016-06-16,2016-06-19,2016
J.B. Holmes,1.02,82,2016-06-16,2016-06-19,2016
Harris English,0.96,82,2016-06-16,2016-06-19,2016
Scott Piercy,0.96,82,2016-06-16,2016-06-19,2016
Bill Haas,0.96,82,2016-06-16,2016-06-19,2016
Branden Grace,0.96,82,2016-06-16,2016-06-19,2016
David Toms,0.96,82,2016-06-16,2016-06-19,2016
Bernd Wiesberger,0.96,82,2016-06-16,2016-06-19,2016
Retief Goosen,0.96,82,2016-06-16,2016-06-19,2016
Shane Lowry,0.96,82,2016-06-16,2016-06-19,2016
Justin Rose,0.96,82,2016-06-16,2016-06-19,2016
Justin Thomas,0.96,82,2016-06-16,2016-06-19,2016
Graeme McDowell,0.96,82,2016-06-16,2016-06-19,2016
Kevin Chappell,0.96,82,2016-06-16,2016-06-19,2016
Derek Fathauer,0.96,82,2016-06-16,2016-06-19,2016
Andrew Landry,0.96,82,2016-06-16,2016-06-19,2016
Robert Streb,0.96,82,2016-06-16,2016-06-19,2016
Hideto Tanihara,0.96,82,2016-06-16,2016-06-19,2016
Byeong-Hun An,0.96,82,2016-06-16,2016-06-19,2016
Spencer Levin,0.96,82,2016-06-16,2016-06-19,2016
Chris Wood,0.96,82,2016-06-16,2016-06-19,2016
Gregory Bourdy,0.96,82,2016-06-16,2016-06-19,2016
Patton Kizzire,0.96,82,2016-06-16,2016-06-19,2016
Kyung-tae Kim,0.96,82,2016-06-16,2016-06-19,2016
Kevin Kisner,0.96,82,2016-06-16,2016-06-19,2016
Jim Herman,0.96,82,2016-06-16,2016-06-19,2016
Rory McIlroy,0.96,82,2016-06-16,2016-06-19,2016
Billy Hurley,0.96,82,2016-06-16,2016-06-19,2016
Charlie Danielson,0.96,82,2016-06-16,2016-06-19,2016
Angel Cabrera,0.96,82,2016-06-16,2016-06-19,2016
Martin Kaymer,0.96,82,2016-06-16,2016-06-19,2016
Kevin Tway,0.96,82,2016-06-16,2016-06-19,2016
Adam Scott,0.96,82,2016-06-16,2016-06-19,2016
Jason Day,0.96,82,2016-06-16,2016-06-19,2016
Marc Leishman,0.96,82,2016-06-16,2016-06-19,2016
Jon Rahm,0.96,82,2016-06-16,2016-06-19,2016
Brandt Snedeker,0.96,82,2016-06-16,2016-06-19,2016
Patrick Reed,0.96,82,2016-06-16,2016-06-19,2016
David Lingmerth,0.96,82,2016-06-16,2016-06-19,2016
Keegan Bradley,0.96,82,2016-06-16,2016-06-19,2016
Hideki Matsuyama,0.96,82,2016-06-16,2016-06-19,2016
Smylie Kaufman,0.96,82,2016-06-16,2016-06-19,2016
Emiliano Grillo,0.96,82,2016-06-16,2016-06-19,2016
Jimmy Walker,0.96,82,2016-06-16,2016-06-19,2016
Russell Knox,0.96,82,2016-06-16,2016-06-19,2016
Charley Hoffman,0.96,82,2016-06-16,2016-06-19,2016
Kevin Streelman,0.96,82,2016-06-16,2016-06-19,2016
Brooks Koepka,0.96,82,2016-06-16,2016-06-19,2016
Geoff Ogilvy,0.9,82,2016-06-16,2016-06-19,2016
Kiradech Aphibarnrat,0.9,82,2016-06-16,2016-06-19,2016
J.J. Henry,0.9,82,2016-06-16,2016-06-19,2016
Rob Oppenheim,0.9,82,2016-06-16,2016-06-19,2016
Lee Westwood,0.9,82,2016-06-16,2016-06-19,2016
Ryan Moore,0.9,82,2016-06-16,2016-06-19,2016
Luke Donald,0.9,82,2016-06-16,2016-06-19,2016
Cameron Smith,0.9,82,2016-06-16,2016-06-19,2016
Andres Gonzales,0.9,82,2016-06-16,2016-06-19,2016
Carlos Ortiz,0.9,82,2016-06-16,2016-06-19,2016
Dicky Pride,0.9,82,2016-06-16,2016-06-19,2016
Justin Hicks,0.9,82,2016-06-16,2016-06-19,2016
Sung Kang,0.9,82,2016-06-16,2016-06-19,2016
Chris Kirk,0.9,82,2016-06-16,2016-06-19,2016
Yusaku Miyazato,0.9,82,2016-06-16,2016-06-19,2016
Lucas Glover,0.9,82,2016-06-16,2016-06-19,2016
Bryson DeChambeau,0.9,82,2016-06-16,2016-06-19,2016
Jason Allred,0.9,82,2016-06-16,2016-06-19,2016
Brendan Steele,0.9,82,2016-06-16,2016-06-19,2016
Paul Casey,0.9,82,2016-06-16,2016-06-19,2016
Rafael Cabrera-Bello,0.9,82,2016-06-16,2016-06-19,2016
Phil Mickelson,0.9,82,2016-06-16,2016-06-19,2016
Soren Kjeldsen,0.9,82,2016-06-16,2016-06-19,2016
Danny Lee,0.9,82,2016-06-16,2016-06-19,2016
Jamie Donaldson,0.9,82,2016-06-16,2016-06-19,2016
Andy Pope,0.9,82,2016-06-16,2016-06-19,2016
Ernie Els,0.9,82,2016-06-16,2016-06-19,2016
Patrick Rodgers,0.9,82,2016-06-16,2016-06-19,2016
Andy Sullivan,0.9,82,2016-06-16,2016-06-19,2016
Sergio Garcia,0.9,82,2016-06-16,2016-06-19,2016
D.J. Trahan,0.9,82,2016-06-16,2016-06-19,2016
Yuta Ikeda,0.84,82,2016-06-16,2016-06-19,2016
Romain Wattel,0.84,82,2016-06-16,2016-06-19,2016
Miguel Tabuena,0.84,82,2016-06-16,2016-06-19,2016
Denny McCarthy,0.84,82,2016-06-16,2016-06-19,2016
Jason Kokrak,0.84,82,2016-06-16,2016-06-19,2016
T.J. Howe,0.84,82,2016-06-16,2016-06-19,2016
Alexander Noren,0.84,82,2016-06-16,2016-06-19,2016
Derek Bard,0.84,82,2016-06-16,2016-06-19,2016
Gregor Main,0.84,82,2016-06-16,2016-06-19,2016
Matteo Manassero,0.84,82,2016-06-16,2016-06-19,2016
Nick Hardy,0.84,82,2016-06-16,2016-06-19,2016
Jim Furyk,0.84,82,2016-06-16,2016-06-19,2016
Matthew Fitzpatrick,0.84,82,2016-06-16,2016-06-19,2016
Louis Oosthuizen,0.84,82,2016-06-16,2016-06-19,2016
Rickie Fowler,0.84,82,2016-06-16,2016-06-19,2016
Danny Willett,0.84,82,2016-06-16,2016-06-19,2016
Jaco Van Zyl,0.84,82,2016-06-16,2016-06-19,2016
Ethan Tracy,0.84,82,2016-06-16,2016-06-19,2016
Steven Bowditch,0.84,82,2016-06-16,2016-06-19,2016
Gary Stal,0.84,82,2016-06-16,2016-06-19,2016
Henrik Stenson,0.84,82,2016-06-16,2016-06-19,2016
Jordan Niebrugge,1.08,83,2016-06-23,2016-06-26,2016
Robert Garrigus,1.02,83,2016-06-23,2016-06-26,2016
Adam Hadwin,1.02,83,2016-06-23,2016-06-26,2016
Daniel Summerhays,1.02,83,2016-06-23,2016-06-26,2016
Charley Hoffman,1.02,83,2016-06-23,2016-06-26,2016
Roberto Castro,1.02,83,2016-06-23,2016-06-26,2016
Hudson Swafford,1.02,83,2016-06-23,2016-06-26,2016
K.J. Choi,1.02,83,2016-06-23,2016-06-26,2016
Harold Varner,1.02,83,2016-06-23,2016-06-26,2016
David Hearn,1.02,83,2016-06-23,2016-06-26,2016
