season,tourname,tourid,start_date,end_date,type,tournum,scrape_timestamp
2003,Mercedes Championships,R2003016,2003-01-09,2003-01-12,STD,10,2020-01-25T18:36:28Z
2003,Sony Open in Hawaii,R2003006,2003-01-16,2003-01-19,STD,20,2020-01-25T18:36:28Z
2003,Phoenix Open,R2003003,2003-01-23,2003-01-26,STD,30,2020-01-25T18:36:28Z
2003,Bob Hope Chrysler Classic,R2003002,2003-01-29,2003-02-02,STD,40,2020-01-25T18:36:28Z
2003,AT&T Pebble Beach National Pro-Am,R2003005,2003-02-06,2003-02-09,STD,50,2020-01-25T18:36:28Z
2003,Buick Invitational,R2003004,2003-02-13,2003-02-16,STD,60,2020-01-25T18:36:28Z
2003,Nissan Open,R2003007,2003-02-20,2003-02-23,STD,70,2020-01-25T18:36:28Z
2003,Chrysler Classic of Tucson,R2003001,2003-02-27,2003-03-02,STD,80,2020-01-25T18:36:28Z
2003,World Golf Championships-Accenture Match Play Championship,R2003470,2003-02-27,2003-03-02,STD,90,2020-01-25T18:36:28Z
2003,Ford Championship at Doral,R2003008,2003-03-06,2003-03-09,STD,100,2020-01-25T18:36:28Z
2003,The Honda Classic,R2003010,2003-03-13,2003-03-16,STD,110,2020-01-25T18:36:28Z
2003,Bay Hill Invitational presented by Cooper Tires,R2003009,2003-03-20,2003-03-23,STD,120,2020-01-25T18:36:28Z
2003,THE PLAYERS Championship,R2003011,2003-03-27,2003-03-30,STD,130,2020-01-25T18:36:28Z
2003,BellSouth Classic,R2003022,2003-04-03,2003-04-06,STD,140,2020-01-25T18:36:28Z
2003,Masters Tournament,R2003014,2003-04-10,2003-04-13,STD,150,2020-01-25T18:36:28Z
2003,MCI Heritage,R2003012,2003-04-17,2003-04-20,STD,160,2020-01-25T18:36:28Z
2003,Shell Houston Open,R2003020,2003-04-24,2003-04-27,STD,170,2020-01-25T18:36:28Z
2003,HP Classic of New Orleans,R2003018,2003-05-01,2003-05-04,STD,180,2020-01-25T18:36:28Z
2003,Wachovia Championship,R2003480,2003-05-08,2003-05-11,STD,190,2020-01-25T18:36:28Z
2003,EDS Byron Nelson Championship,R2003019,2003-05-15,2003-05-18,STD,200,2020-01-25T18:36:28Z
