ID,FirstName,LastName,DKName,FDName
1001,Tommy,Aaron,Tommy Aaron,Tommy Aaron
1002,Rodney,Acia,Rodney Acia,Rodney Acia
1003,Bob,Ackerman,Bob Ackerman,Bob Ackerman
1004,Ernesto Perez,Acosta,Ernesto Perez Acosta,Ernesto Perez Acosta
1005,Adam,Adams,Adam Adams,Adam Adams
1006,John,Adams,John Adams,John Adams
1007,Sam,Adams,Sam Adams,Sam Adams
1008,Richie,Adham,Richie Adham,Richie Adham
1009,Robert,Agee,Robert Agee,Robert Agee
1010,Sam,Ainslie,Sam Ainslie,Sam Ainslie
1011,Rafael,Alarcon,Rafael Alarcon,Rafael Alarcon
1012,Jim,Albus,Jim Albus,Jim Albus
1013,Buddy,Alexander,Buddy Alexander,Buddy Alexander
1014,Fulton,Allem,Fulton Allem,Fulton Allem
1015,Johnny,Allen,Johnny Allen,Johnny Allen
1016,Ras,Allen,Ras Allen,Ras Allen
1017,Bud,Allin,Bud Allin,Bud Allin
1018,Stanton,Altgelt,Stanton Altgelt,Stanton Altgelt
1019,Mark,Alwin,Mark Alwin,Mark Alwin
1020,Masaru,Amano,Masaru Amano,Masaru Amano
1021,Chris,Anderson,Chris Anderson,Chris Anderson
1022,David,Anderson,David Anderson,David Anderson
1023,Jerry,Anderson,Jerry Anderson,Jerry Anderson
1024,Billy,Andrade,Billy Andrade,Billy Andrade
1025,Tim,Angis,Tim Angis,Tim Angis
1026,Allan,Ano,Allan Ano,Allan Ano
1027,Jack,Anrico,Jack Anrico,Jack Anrico
1028,Terry,Anton,Terry Anton,Terry Anton
1029,Greg,Antunes,Greg Antunes,Greg Antunes
1030,Isao,Aoki,Isao Aoki,Isao Aoki
1031,Frank,Apodaca,Frank Apodaca,Frank Apodaca
1032,Kikuo,Arai,Kikuo Arai,Kikuo Arai
1033,George,Archer,George Archer,George Archer
1034,Mark,Armistead,Mark Armistead,Mark Armistead
1035,Tommy,Armour III,Tommy Armour III,Tommy Armour III
1036,Wally,Armstrong,Wally Armstrong,Wally Armstrong
1037,Dewey,Arnette,Dewey Arnette,Dewey Arnette
1038,Woody,Arnold,Woody Arnold,Woody Arnold
1039,Perry,Arthur,Perry Arthur,Perry Arthur
1040,Emlyn,Aubrey,Emlyn Aubrey,Emlyn Aubrey
1041,Tommy,Aycock,Tommy Aycock,Tommy Aycock
1042,Paul,Azinger,Paul Azinger,Paul Azinger
1043,Jeff,Bailey,Jeff Bailey,Jeff Bailey
1044,Mike,Bailey,Mike Bailey,Mike Bailey
1045,Butch,Baird,Butch Baird,Butch Baird
1046,Angus,Baker,Angus Baker,Angus Baker
1047,Carl,Baker,Carl Baker,Carl Baker
1048,Gary,Baker,Gary Baker,Gary Baker
1049,Ian,Baker-Finch,Ian Baker-Finch,Ian Baker-Finch
1050,Al,Balding,Al Balding,Al Balding
1051,Seve,Ballesteros,Seve Ballesteros,Seve Ballesteros
1052,Gary,Balliett,Gary Balliett,Gary Balliett
1053,Mike,Ballo,Mike Ballo,Mike Ballo
1054,Dave,Barber,Dave Barber,Dave Barber
1055,Jerry,Barber,Jerry Barber,Jerry Barber
1056,Jim,Barber,Jim Barber,Jim Barber
1057,Miller,Barber,Miller Barber,Miller Barber
1058,Tom,Barber,Tom Barber,Tom Barber
1059,Jack,Barksdale,Jack Barksdale,Jack Barksdale
1060,Dave,Barr,Dave Barr,Dave Barr
1061,Ray,"Barr, Jr.","Ray Barr, Jr.","Ray Barr, Jr."
1062,Billy,Bassler,Billy Bassler,Billy Bassler
1063,Ben,Bates,Ben Bates,Ben Bates
1064,Eric,Batten,Eric Batten,Eric Batten
1065,Beau,Baugh,Beau Baugh,Beau Baugh
1066,Mel,Baum,Mel Baum,Mel Baum
1067,George,Bayer,George Bayer,George Bayer
1068,Andy,Bean,Andy Bean,Andy Bean
1069,Frank,Beard,Frank Beard,Frank Beard
1070,Scott,Beard,Scott Beard,Scott Beard
1071,Bob,Beauchemin,Bob Beauchemin,Bob Beauchemin
1072,Chip,Beck,Chip Beck,Chip Beck
1073,Kurt,Beck,Kurt Beck,Kurt Beck
1074,Jim,Becker,Jim Becker,Jim Becker
1075,Tom,Befera,Tom Befera,Tom Befera
1076,Deane,Beman,Deane Beman,Deane Beman
1077,Mike,Bender,Mike Bender,Mike Bender
1078,Jim,Benepe,Jim Benepe,Jim Benepe
1079,Steve,Benson,Steve Benson,Steve Benson
1080,Scott,Bentley,Scott Bentley,Scott Bentley
1081,Bill,Bergin,Bill Bergin,Bill Bergin
1082,Jim,Bertoncino,Jim Bertoncino,Jim Bertoncino
1083,Scott,Bess,Scott Bess,Scott Bess
1084,Al,Besselink,Al Besselink,Al Besselink
1085,Bob,Betley,Bob Betley,Bob Betley
1086,Roy,Biancalana,Roy Biancalana,Roy Biancalana
1087,Don,Bies,Don Bies,Don Bies
1088,Richard,Bietz,Richard Bietz,Richard Bietz
1089,Charles,Bishop,Charles Bishop,Charles Bishop
1090,Jason,Bittick,Jason Bittick,Jason Bittick
1091,Doug,Black,Doug Black,Doug Black
1092,Mark,Black,Mark Black,Mark Black
1093,Ronnie,Black,Ronnie Black,Ronnie Black
1094,Mike,Blackburn,Mike Blackburn,Mike Blackburn
1095,Woody,Blackburn,Woody Blackburn,Woody Blackburn
1096,Phil,Blackmar,Phil Blackmar,Phil Blackmar
1097,James,Blair,James Blair,James Blair
1098,Jay Don,Blake,Jay Don Blake,Jay Don Blake
1099,Homero,Blancas,Homero Blancas,Homero Blancas
1100,Lynn,Blevins,Lynn Blevins,Lynn Blevins
1101,Marty,Bohen,Marty Bohen,Marty Bohen
1102,Bob,Boldt,Bob Boldt,Bob Boldt
1103,Charles,Bolling,Charles Bolling,Charles Bolling
1104,Tommy,Bolt,Tommy Bolt,Tommy Bolt
1105,Mike,Booker,Mike Booker,Mike Booker
1106,Jim,Booros,Jim Booros,Jim Booros
1107,Rick,Borg,Rick Borg,Rick Borg
1108,Julius,Boros,Julius Boros,Julius Boros
1109,Steve,Bosdosh,Steve Bosdosh,Steve Bosdosh
1110,Rafe,Botts,Rafe Botts,Rafe Botts
1111,Bob,Bowes,Bob Bowes,Bob Bowes
1112,Charlie,Bowles,Charlie Bowles,Charlie Bowles
1113,Steve,Bowman,Steve Bowman,Steve Bowman
1114,Bob,Boyd,Bob Boyd,Bob Boyd
1115,Don,Boyle,Don Boyle,Don Boyle
1116,Michael,Bradley,Michael Bradley,Michael Bradley
1117,Steve,Brady,Steve Brady,Steve Brady
1118,Gordon,Brand Jr.,Gordon Brand Jr.,Gordon Brand Jr.
1119,Leigh,Brannan,Leigh Brannan,Leigh Brannan
1120,Michael,Brannan,Michael Brannan,Michael Brannan
1122,Tim,Brauch,Tim Brauch,Tim Brauch
1123,Bobby,Bray,Bobby Bray,Bobby Bray
1124,Gay,Brewer,Gay Brewer,Gay Brewer
1125,Will,Brewer,Will Brewer,Will Brewer
1126,Charlie,Bridwell,Charlie Bridwell,Charlie Bridwell
1127,Danny,Briggs,Danny Briggs,Danny Briggs
1128,Mike,Bright,Mike Bright,Mike Bright
1129,Bill,Britton,Bill Britton,Bill Britton
1130,Bill,Brodell,Bill Brodell,Bill Brodell
1131,John,Brodie,John Brodie,John Brodie
1132,Mark,Brooks,Mark Brooks,Mark Brooks
1133,Billy Ray,Brown,Billy Ray Brown,Billy Ray Brown
1134,Glen,Brown,Glen Brown,Glen Brown
